,precision,recall,f1-score,support
Apple___Apple_scab,0.9622641509433962,0.9444444444444444,0.9532710280373832,108.0
Apple___Black_rot,1.0,1.0,1.0,93.0
Apple___Cedar_apple_rust,0.9272727272727272,0.9444444444444444,0.9357798165137615,54.0
Apple___healthy,1.0,0.9846743295019157,0.9922779922779923,261.0
Blueberry___healthy,0.9641434262948207,0.9958847736625515,0.979757085020243,243.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9936708860759493,0.9968253968253968,158.0
Cherry_(including_sour)___healthy,0.9924812030075187,0.9705882352941176,0.9814126394052045,136.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9620253164556962,0.8735632183908046,0.9156626506024096,87.0
Corn_(maize)___Common_rust_,0.9846153846153847,0.9795918367346939,0.9820971867007673,196.0
Corn_(maize)___Northern_Leaf_Blight,0.9197860962566845,0.9717514124293786,0.945054945054945,177.0
Corn_(maize)___healthy,1.0,1.0,1.0,175.0
Grape___Black_rot,0.9891891891891892,0.9786096256684492,0.9838709677419355,187.0
Grape___Esca_(Black_Measles),1.0,0.9951923076923077,0.9975903614457832,208.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,161.0
Grape___healthy,0.96,0.9863013698630136,0.972972972972973,73.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826.0
Peach___Bacterial_spot,0.9942363112391931,1.0,0.9971098265895953,345.0
Peach___healthy,0.9571428571428572,0.9571428571428572,0.9571428571428572,70.0
"Pepper,_bell___Bacterial_spot",0.9629629629629629,0.975,0.968944099378882,160.0
"Pepper,_bell___healthy",0.9659574468085106,0.9826839826839827,0.9742489270386266,231.0
Potato___Early_blight,0.9634146341463414,0.9461077844311377,0.9546827794561934,167.0
Potato___Late_blight,0.9457831325301205,0.9515151515151515,0.9486404833836858,165.0
Potato___healthy,1.0,1.0,1.0,23.0
Raspberry___healthy,0.9714285714285714,0.9315068493150684,0.951048951048951,73.0
Soybean___healthy,0.9948320413436692,0.9948320413436692,0.9948320413436692,774.0
Squash___Powdery_mildew,1.0,0.9966101694915255,0.99830220713073,295.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,166.0
Strawberry___healthy,0.963855421686747,0.975609756097561,0.9696969696969697,82.0
Tomato___Bacterial_spot,0.9877675840978594,0.9613095238095238,0.9743589743589743,336.0
Tomato___Early_blight,0.9122807017543859,0.9570552147239264,0.9341317365269461,163.0
Tomato___Late_blight,0.9570957095709571,0.9570957095709571,0.9570957095709571,303.0
Tomato___Leaf_Mold,0.9733333333333334,0.9358974358974359,0.954248366013072,156.0
Tomato___Septoria_leaf_spot,0.965034965034965,0.9550173010380623,0.96,289.0
Tomato___Spider_mites Two-spotted_spider_mite,0.984251968503937,0.9920634920634921,0.9881422924901185,252.0
Tomato___Target_Spot,0.9812206572769953,0.990521327014218,0.9858490566037735,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9950920245398773,0.9950920245398773,0.9950920245398773,815.0
Tomato___Tomato_mosaic_virus,0.9104477611940298,0.953125,0.9312977099236641,64.0
Tomato___healthy,0.9759036144578314,0.9798387096774194,0.9778672032193159,248.0
accuracy,0.9815965303012543,0.9815965303012543,0.9815965303012543,0.9815965303012543
macro avg,0.9743110313970677,0.9738616109094195,0.9739290857383067,8531.0
weighted avg,0.9817850340195252,0.9815965303012543,0.9816005800353357,8531.0
overall_accuracy,0.9815965303012543,0.9815965303012543,0.9815965303012543,0.9815965303012543
